time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
1769.000,0.00,0.000,-0.003,12.6243,82.5954,83.9071,80.0165,82.5459,12.6376
1770.000,0.00,0.000,0.101,12.6361,82.5954,83.9071,80.1322,82.6401,12.6406
1771.000,0.00,0.000,0.057,12.6255,82.5954,83.9071,80.0451,82.5128,12.6379
1772.000,0.00,0.000,-0.024,12.6400,82.5954,83.9071,80.2952,82.6046,12.6432
1773.000,0.00,0.000,0.237,12.6588,82.5954,83.9071,80.6467,82.7388,12.6451
1774.000,0.00,0.000,0.029,12.6581,82.5954,83.9071,80.4477,82.6037,12.6443
1775.000,0.00,0.000,0.083,12.6361,82.5954,83.9071,80.6917,82.6854,12.6472
1776.000,0.00,0.000,0.015,12.6380,82.5954,83.9071,80.3781,82.5413,12.6442
1777.000,0.00,0.000,0.160,12.6608,82.5954,83.9071,80.9726,82.7862,12.6514
1778.000,0.00,0.000,0.112,12.6387,82.5954,83.9071,80.9862,82.7603,12.6519
1779.000,0.00,0.000,0.259,12.6676,82.5954,83.9071,81.3952,82.9255,12.6562
1780.000,0.00,0.000,0.020,12.6705,82.5954,83.9071,81.1120,82.7403,12.6538
1781.000,0.00,0.000,-0.012,12.6622,82.5954,83.9071,80.7871,82.5616,12.6490
1782.000,0.00,0.000,0.160,12.6547,82.5954,83.9071,81.0885,82.7185,12.6527
1783.000,0.00,0.000,-0.020,12.6418,82.5954,83.9071,80.9999,82.5834,12.6512
1784.000,0.00,0.000,0.175,12.6642,82.5954,83.9071,81.4659,82.8003,12.6564
1785.000,0.00,0.000,0.090,12.6347,82.5954,83.9071,81.0482,82.5654,12.6502
1786.000,0.00,0.000,0.130,12.6428,82.5954,83.9071,81.7030,82.8790,12.6608
1787.000,0.00,0.000,-0.006,12.6604,82.5954,83.9071,81.6272,82.8038,12.6605
1788.000,0.00,0.000,0.213,12.6459,82.5954,83.9071,81.2984,82.6382,12.6525
1789.000,0.00,0.000,0.089,12.6498,82.5954,83.9071,81.6008,82.7381,12.6579
1790.000,0.00,0.000,0.131,12.6398,82.5954,83.9071,81.1927,82.5507,12.6515
1791.000,0.00,0.000,-0.005,12.6451,82.5954,83.9071,81.1752,82.5597,12.6543
1792.000,0.00,0.000,0.017,12.6622,82.5954,83.9071,81.5514,82.6773,12.6583
1793.000,0.00,0.000,0.054,12.6395,82.5954,83.9071,81.5855,82.6840,12.6585
1794.000,0.00,0.000,0.121,12.6622,82.5954,83.9071,81.5547,82.6745,12.6577
1795.000,0.00,0.000,0.129,12.6576,82.5954,83.9071,81.8457,82.7862,12.6617
1796.000,0.00,0.000,0.220,12.6599,82.5954,83.9071,81.7114,82.6953,12.6578
1797.000,0.00,0.000,0.207,12.6753,82.5954,83.9071,81.8168,82.7449,12.6600
1798.000,0.00,0.000,0.209,12.6668,82.5954,83.9071,81.7646,82.7454,12.6603
1799.000,0.00,0.000,0.094,12.6596,82.5954,83.9071,81.7642,82.6799,12.6599
1800.000,0.00,0.000,0.107,12.6456,82.5954,83.9071,81.6332,82.6038,12.6575
1801.000,0.00,0.000,0.019,12.6489,82.5954,83.9071,81.8414,82.6918,12.6619
1802.000,0.00,0.000,0.054,12.6703,82.5954,83.9071,82.1497,82.8362,12.6666
1803.000,0.00,0.000,0.033,12.6728,82.5954,83.9071,82.1689,82.7886,12.6654
1804.000,0.00,0.000,0.011,12.6461,82.5954,83.9071,81.9454,82.6898,12.6626
1805.000,0.00,0.000,0.010,12.6721,82.5954,83.9071,81.8841,82.6901,12.6628
1806.000,0.00,0.000,0.062,12.6694,82.5954,83.9071,81.9186,82.7486,12.6644
1807.000,0.00,0.000,0.244,12.6588,82.5954,83.9071,82.0733,82.7409,12.6619
1808.000,0.00,0.000,0.114,12.6679,82.5954,83.9071,81.7187,82.5956,12.6590
1809.000,0.00,0.000,0.252,12.6764,82.5954,83.9071,81.8387,82.6795,12.6603
1810.000,0.00,0.000,0.194,12.6807,82.5954,83.9071,81.9633,82.7242,12.6628
1811.000,0.00,0.000,0.272,12.6794,82.5954,83.9071,82.1956,82.8191,12.6652
1812.000,0.00,0.000,0.151,12.6579,82.5954,83.9071,82.0900,82.7089,12.6632
1813.000,0.00,0.000,0.065,12.6536,82.5954,83.9071,81.8701,82.5897,12.6605
1814.000,0.00,0.000,0.256,12.6609,82.5954,83.9071,82.0511,82.7402,12.6633
1815.000,0.00,0.000,0.113,12.6561,82.5954,83.9071,81.8901,82.5982,12.6606
1816.000,0.00,6.250,6.254,12.5764,82.5954,83.9070,82.0781,82.6924,12.5811
1817.000,0.00,6.250,6.370,12.5657,82.5859,83.8983,82.0694,82.8325,12.5813
1818.000,0.00,6.250,6.459,12.5737,82.5763,83.8897,82.0607,82.7197,12.5735
1819.000,0.00,6.250,6.463,12.5545,82.5668,83.8810,82.0520,82.6207,12.5674
1820.000,0.00,6.250,6.257,12.5692,82.5572,83.8723,82.0433,82.6859,12.5698
1821.000,0.00,6.250,6.289,12.5709,82.5477,83.8636,82.0346,82.8350,12.5719
1822.000,0.00,6.250,6.409,12.5495,82.5382,83.8549,82.0260,82.5377,12.5578
1823.000,0.00,6.250,6.517,12.5569,82.5286,83.8462,82.0173,82.7446,12.5611
1824.000,0.00,6.250,6.294,12.5720,82.5191,83.8375,82.0086,82.5220,12.5544
1825.000,0.00,6.250,6.441,12.5657,82.5096,83.8289,81.9999,82.6291,12.5539
1826.000,0.00,6.250,6.316,12.5658,82.5000,83.8201,81.9912,82.8541,12.5612
1827.000,0.00,6.250,6.373,12.5620,82.4905,83.8114,81.9825,82.6232,12.5506
1828.000,0.00,6.250,6.398,12.5311,82.4810,83.8028,81.9738,82.5207,12.5451
1829.000,0.00,6.250,6.449,12.5416,82.4714,83.7941,81.9651,82.6304,12.5464
1830.000,0.00,6.250,6.288,12.5392,82.4619,83.7854,81.9564,82.6013,12.5458
1831.000,0.00,6.250,6.325,12.5314,82.4523,83.7767,81.9477,82.3692,12.5359
1832.000,0.00,6.250,6.453,12.5329,82.4428,83.7681,81.9391,82.4335,12.5349
1833.000,0.00,6.250,6.382,12.5499,82.4333,83.7593,81.9304,82.4892,12.5364
1834.000,0.00,6.250,6.283,12.5260,82.4237,83.7506,81.9217,82.4393,12.5347
1835.000,0.00,6.250,6.520,12.5266,82.4142,83.7419,81.9129,82.4789,12.5315
1836.000,0.00,6.250,6.491,12.5238,82.4047,83.7332,81.9043,82.5274,12.5322
1837.000,0.00,6.250,6.462,12.5422,82.3951,83.7245,81.8956,82.5266,12.5314
1838.000,0.00,6.250,6.410,12.5228,82.3856,83.7158,81.8869,82.3263,12.5242
1839.000,0.00,6.250,6.353,12.5088,82.3761,83.7071,81.8782,82.4115,12.5268
1840.000,0.00,6.250,6.396,12.5105,82.3665,83.6985,81.8695,82.2490,12.5198
1841.000,0.00,6.250,6.460,12.5298,82.3570,83.6898,81.8609,82.5245,12.5273
1842.000,0.00,6.250,6.326,12.5059,82.3474,83.6811,81.8522,82.3293,12.5214
1843.000,0.00,6.250,6.271,12.5397,82.3379,83.6724,81.8435,82.4112,12.5241
1844.000,0.00,12.500,12.751,12.4332,82.3283,83.6637,81.8348,82.4290,12.4364
1845.000,0.00,12.500,12.546,12.4148,82.3092,83.6458,81.8169,82.2125,12.4280
1846.000,0.00,12.500,12.692,12.4190,82.2902,83.6279,81.7990,82.4336,12.4297
1847.000,0.00,12.500,12.519,12.4047,82.2711,83.6101,81.7811,82.2896,12.4236
1848.000,0.00,12.500,12.641,12.4174,82.2520,83.5922,81.7632,82.1731,12.4146
1849.000,0.00,12.500,12.592,12.4151,82.2330,83.5743,81.7454,82.2155,12.4135
1850.000,0.00,12.500,12.664,12.4123,82.2139,83.5564,81.7275,82.3151,12.4127
1851.000,0.00,12.500,12.743,12.4257,82.1948,83.5385,81.7096,82.4176,12.4120
1852.000,0.00,12.500,12.648,12.4188,82.1757,83.5207,81.6917,82.2000,12.4031
1853.000,0.00,12.500,12.768,12.4072,82.1567,83.5028,81.6738,82.3645,12.4043
1854.000,0.00,12.500,12.601,12.4033,82.1376,83.4849,81.6559,82.1490,12.3966
1855.000,0.00,12.500,12.589,12.4016,82.1185,83.4670,81.6381,82.1398,12.3940
1856.000,0.00,-6.250,-6.095,12.6617,82.0996,83.4493,81.6203,82.2380,12.6472
1857.000,0.00,-6.250,-6.204,12.6710,82.1091,83.4576,81.6287,82.2659,12.6567
1858.000,0.00,-6.250,-5.988,12.6472,82.1187,83.4659,81.6370,82.2652,12.6605
1859.000,0.00,-6.250,-6.247,12.6824,82.1282,83.4743,81.6453,82.3271,12.6725
1860.000,0.00,-6.250,-6.053,12.6958,82.1377,83.4826,81.6537,82.3415,12.6767
1861.000,0.00,-6.250,-6.005,12.6988,82.1473,83.4910,81.6620,82.2616,12.6793
1862.000,0.00,-6.250,-6.095,12.6993,82.1568,83.4993,81.6704,82.2778,12.6869
1863.000,0.00,-6.250,-6.270,12.6875,82.1663,83.5077,81.6787,82.2671,12.6944
1864.000,0.00,0.000,0.156,12.6143,82.1758,83.5160,81.3304,82.3351,12.6152
1865.000,0.00,0.000,0.038,12.5974,82.1758,83.5160,78.1271,82.0707,12.6099
1866.000,0.00,0.000,0.039,12.6001,82.1758,83.5160,78.3055,82.2572,12.6181
1867.000,0.00,0.000,0.168,12.6305,82.1758,83.5160,78.4230,82.2711,12.6187
1868.000,0.00,0.000,0.066,12.6033,82.1758,83.5160,78.6626,82.2916,12.6224
1869.000,0.00,0.000,0.244,12.6054,82.1758,83.5160,78.5290,82.1539,12.6170
1870.000,0.00,0.000,0.021,12.6404,82.1758,83.5160,79.2792,82.4752,12.6324
1871.000,0.00,0.000,0.261,12.6141,82.1758,83.5160,78.8875,82.2104,12.6217
