time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
184.000,14.00,-16.894,-16.875,12.9236,96.1367,96.5037,92.7776,96.3660,12.9130
185.000,10.50,-12.760,-12.636,12.8591,96.1596,96.5241,92.7980,96.3866,12.8700
186.000,7.00,-8.549,-8.394,12.8274,96.1760,96.5387,92.8126,96.5154,12.8280
187.000,3.50,-4.287,-4.062,12.7556,96.1859,96.5474,92.8213,96.1943,12.7671
188.000,0.00,0.000,0.078,12.7177,96.1892,96.5502,89.6667,96.3613,12.7228
189.000,0.00,0.000,0.029,12.7398,96.1892,96.5502,87.4974,96.5026,12.7329
190.000,0.00,0.000,0.098,12.7267,96.1892,96.5502,87.0412,96.2147,12.7268
191.000,0.00,0.000,0.054,12.7428,96.1892,96.5502,88.0068,96.5693,12.7436
192.000,0.00,0.000,0.045,12.7396,96.1892,96.5502,87.7826,96.2742,12.7379
193.000,0.00,0.000,0.041,12.7403,96.1892,96.5502,88.3600,96.4213,12.7468
194.000,0.00,0.000,0.171,12.7453,96.1892,96.5502,88.7308,96.4383,12.7494
195.000,0.00,0.000,0.156,12.7569,96.1892,96.5502,89.1835,96.5149,12.7558
196.000,0.00,0.000,0.252,12.7643,96.1892,96.5502,89.1134,96.3637,12.7529
197.000,0.00,0.000,0.083,12.7685,96.1892,96.5502,89.5887,96.4088,12.7600
198.000,0.00,0.000,0.182,12.7678,96.1892,96.5502,89.6540,96.3728,12.7607
199.000,0.00,0.000,0.229,12.7822,96.1892,96.5502,89.9435,96.4048,12.7644
200.000,0.00,0.000,-0.018,12.7588,96.1892,96.5502,90.0517,96.2566,12.7657
201.000,0.00,0.000,0.223,12.7565,96.1892,96.5502,90.2858,96.3003,12.7668
202.000,0.00,0.000,0.091,12.7712,96.1892,96.5502,90.9472,96.4746,12.7771
203.000,0.00,0.000,0.117,12.7608,96.1892,96.5502,90.8372,96.3630,12.7757
204.000,0.00,0.000,0.170,12.7901,96.1892,96.5502,91.2977,96.5034,12.7822
205.000,0.00,0.000,0.084,12.7760,96.1892,96.5502,91.3758,96.3985,12.7822
206.000,0.00,0.000,0.004,12.7922,96.1892,96.5502,91.7027,96.4547,12.7874
