time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
198.000,0.00,0.000,0.182,12.7730,96.5958,96.5502,90.0606,96.6984,12.7659
199.000,0.00,0.000,0.229,12.7874,96.5958,96.5502,90.3501,96.7316,12.7695
200.000,0.00,0.000,-0.018,12.7639,96.5958,96.5502,90.4583,96.5846,12.7708
201.000,0.00,0.000,0.223,12.7616,96.5958,96.5502,90.6924,96.6295,12.7719
202.000,0.00,0.000,0.091,12.7763,96.5958,96.5502,91.3538,96.8049,12.7823
203.000,0.00,0.000,0.117,12.7659,96.5958,96.5502,91.2438,96.6945,12.7808
204.000,0.00,0.000,0.170,12.7953,96.5958,96.5502,91.7043,96.8360,12.7873
205.000,0.00,0.000,0.084,12.7812,96.5958,96.5502,91.7824,96.7321,12.7873
206.000,0.00,0.000,0.004,12.7974,96.5958,96.5502,92.1093,96.7895,12.7926
207.000,3.75,13.001,13.119,12.5969,96.5867,96.5410,92.0720,96.6773,12.6105
208.000,7.50,26.063,26.161,12.4170,96.5595,96.5136,92.0447,96.3908,12.4174
209.000,11.25,39.249,39.285,12.2318,96.5142,96.4680,91.9991,96.3783,12.2262
210.000,15.00,7.089,7.269,12.6592,96.4511,96.4047,91.9358,96.2224,12.6338
211.000,15.00,7.089,7.165,12.6544,96.4415,96.3949,91.9260,96.6171,12.6491
212.000,15.00,7.089,7.189,12.6585,96.4320,96.3851,91.9162,96.3126,12.6390
213.000,15.00,7.089,7.088,12.6637,96.4225,96.3753,91.9064,96.6028,12.6507
214.000,15.00,7.089,7.218,12.6596,96.4129,96.3655,91.8966,96.5672,12.6481
215.000,15.00,7.089,7.077,12.6573,96.4034,96.3557,91.8868,96.4398,12.6463
216.000,15.00,7.089,7.149,12.6352,96.3939,96.3459,91.8770,96.3441,12.6425
217.000,15.00,7.089,7.135,12.6435,96.3843,96.3360,91.8671,96.3307,12.6427
218.000,15.00,-14.961,-14.853,12.9329,96.3749,96.3264,91.8575,96.3921,12.9420
219.000,12.00,-12.065,-12.066,12.9371,96.3937,96.3450,91.8760,96.7782,12.9279
220.000,9.00,-9.105,-9.095,12.8810,96.4084,96.3595,91.8906,96.4526,12.8856
221.000,6.00,-6.097,-6.000,12.8731,96.4189,96.3699,91.9009,96.7418,12.8604
222.000,3.00,-3.057,-2.831,12.8185,96.4253,96.3761,91.9071,96.4997,12.8146
223.000,0.00,0.000,0.107,12.7645,96.4274,96.3780,91.8068,96.4812,12.7778
224.000,0.00,0.000,0.134,12.7682,96.4274,96.3780,91.2292,96.4074,12.7774
225.000,0.00,0.000,0.222,12.7943,96.4274,96.3780,91.8843,96.7133,12.7889
226.000,0.00,0.000,0.140,12.7856,96.4274,96.3780,91.5470,96.4092,12.7820
227.000,0.00,0.000,0.155,12.8068,96.4274,96.3780,92.3965,96.7910,12.7968
228.000,0.00,0.000,0.166,12.7896,96.4274,96.3780,92.1646,96.5800,12.7917
229.000,0.00,0.000,0.043,12.7977,96.4274,96.3780,92.5294,96.6827,12.7988
230.000,0.00,0.000,0.260,12.8117,96.4274,96.3780,92.4778,96.6066,12.7953
231.000,0.00,0.000,0.141,12.7943,96.4274,96.3780,92.3934,96.4838,12.7946
232.000,0.00,0.000,-0.011,12.7948,96.4274,96.3780,92.5170,96.4443,12.7971
233.000,0.00,0.000,0.230,12.8148,96.4274,96.3780,92.7714,96.5697,12.8000
234.000,0.00,0.000,0.244,12.7926,96.4274,96.3780,92.9792,96.5619,12.8012
235.000,0.00,0.000,0.210,12.7888,96.4274,96.3780,92.8544,96.4545,12.7997
236.000,0.00,0.000,0.237,12.8106,96.4274,96.3780,92.9987,96.4424,12.8005
237.000,0.00,0.000,0.104,12.7973,96.4274,96.3780,93.2298,96.4958,12.8056
238.000,0.00,0.000,0.201,12.8051,96.4274,96.3780,93.7683,96.6906,12.8122
239.000,0.00,0.000,0.058,12.7923,96.4274,96.3780,93.5640,96.4930,12.8088
240.000,0.00,0.000,0.192,12.8039,96.4274,96.3780,93.7646,96.5905,12.8116
241.000,0.00,0.000,0.037,12.7971,96.4274,96.3780,93.8404,96.5468,12.8134
242.000,0.00,0.000,0.088,12.8260,96.4274,96.3780,94.2416,96.7178,12.8197
243.000,0.00,0.000,0.131,12.8264,96.4274,96.3780,94.0814,96.5833,12.8157
244.000,0.00,0.000,0.188,12.8015,96.4274,96.3780,94.0757,96.5457,12.8147
245.000,2.50,6.134,6.383,12.7198,96.4231,96.3736,93.6781,96.5326,12.7302
246.000,5.00,12.286,12.300,12.6360,96.4103,96.3606,93.6651,96.4985,12.6457
247.000,7.50,18.475,18.599,12.5435,96.3889,96.3390,93.6436,96.3728,12.5501
248.000,10.00,24.718,24.827,12.4431,96.3589,96.3089,93.6134,96.3376,12.4556
249.000,12.50,31.035,31.246,12.3673,96.3202,96.2700,93.5745,96.2487,12.3540
250.000,15.00,41.490,41.727,12.1898,96.2726,96.2222,93.5267,95.8972,12.1861
251.000,17.83,49.649,49.835,12.0483,96.2093,96.1587,93.4632,95.9662,12.0595
252.000,20.67,50.000,49.987,12.0212,96.1401,96.0893,93.3938,95.7641,12.0298
253.000,23.50,50.000,50.144,12.0190,96.0710,96.0199,93.3244,95.7379,12.0068
254.000,26.33,50.000,50.267,11.9643,96.0018,95.9505,93.2550,95.6514,11.9832
255.000,29.17,50.000,50.009,11.9665,95.9327,95.8811,93.1856,95.5709,11.9657
