time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
162.000,36.87,-15.500,-15.346,12.7409,96.7738,71.7317,93.1520,96.8375,12.7440
163.000,35.00,23.354,23.397,12.2501,96.7950,71.7528,93.1731,96.9822,12.2455
164.000,35.00,23.354,23.511,12.2219,96.7628,71.7205,93.1408,96.6279,12.2320
165.000,35.00,23.354,23.531,12.2425,96.7306,71.6883,93.1085,96.5547,12.2293
166.000,35.00,23.354,23.448,12.2475,96.6985,71.6560,93.0762,96.5663,12.2309
167.000,35.00,23.354,23.594,12.2344,96.6663,71.6237,93.0440,96.5182,12.2273
168.000,35.00,23.354,23.486,12.2078,96.6341,71.5914,93.0117,96.2158,12.2187
169.000,35.00,23.354,23.363,12.2042,96.6019,71.5591,92.9794,96.1877,12.2197
170.000,35.00,23.354,23.617,12.2369,96.5697,71.5268,92.9471,96.2944,12.2199
171.000,35.00,23.354,23.340,12.2414,96.5375,71.4945,92.9148,96.2770,12.2233
172.000,35.00,23.354,23.352,12.2199,96.5053,71.4623,92.8825,96.1886,12.2204
173.000,35.00,23.354,23.547,12.2268,96.4732,71.4300,92.8502,96.2084,12.2187
174.000,35.00,23.354,23.525,12.2332,96.4410,71.3977,92.8179,96.2262,12.2198
175.000,35.00,23.354,23.530,12.2325,96.4088,71.3653,92.7856,96.2864,12.2220
176.000,35.00,23.354,23.591,12.2246,96.3766,71.3331,92.7534,96.2538,12.2203
177.000,35.00,23.354,23.555,12.2018,96.3444,71.3008,92.7211,96.0608,12.2145
178.000,35.00,-38.659,-38.584,13.0669,96.3126,71.2690,92.6892,96.0930,13.0549
179.000,31.50,-35.521,-35.463,13.0737,96.3642,71.3203,92.7406,96.4649,13.0556
180.000,28.00,-32.153,-32.170,13.0373,96.4112,71.3671,92.7874,96.6058,13.0433
181.000,24.50,-28.581,-28.326,13.0079,96.4534,71.4091,92.8294,96.6087,13.0159
182.000,21.00,-24.830,-24.746,12.9927,96.4905,71.4460,92.8663,96.7298,12.9933
183.000,17.50,-20.926,-20.700,12.9409,96.5223,71.4776,92.8979,96.7263,12.9575
184.000,14.00,-16.894,-16.875,12.9288,96.5485,71.5037,92.9240,96.6125,12.9182
185.000,10.50,-12.760,-12.636,12.8643,96.5691,71.5241,92.9444,96.6346,12.8752
186.000,7.00,-8.549,-8.394,12.8326,96.5839,71.5387,92.9590,96.7651,12.8331
187.000,3.50,-4.287,-4.062,12.7607,96.5928,71.5474,92.9677,96.4461,12.7722
188.000,0.00,0.000,0.078,12.7228,96.5958,71.5502,89.9613,96.6151,12.7279
189.000,0.00,0.000,0.029,12.7449,96.5958,71.5502,87.8903,96.7586,12.7380
190.000,0.00,0.000,0.098,12.7318,96.5958,71.5502,87.4462,96.4731,12.7319
191.000,0.00,0.000,0.054,12.7479,96.5958,71.5502,88.4133,96.8296,12.7487
192.000,0.00,0.000,0.045,12.7447,96.5958,71.5502,88.1892,96.5369,12.7430
193.000,0.00,0.000,0.041,12.7454,96.5958,71.5502,88.7666,96.6860,12.7519
194.000,0.00,0.000,0.171,12.7505,96.5958,71.5502,89.1374,96.7052,12.7545
195.000,0.00,0.000,0.156,12.7620,96.5958,71.5502,89.5901,96.7838,12.7609
196.000,0.00,0.000,0.252,12.7694,96.5958,71.5502,89.5200,96.6347,12.7580
197.000,0.00,0.000,0.083,12.7737,96.5958,71.5502,89.9953,96.6817,12.7651
198.000,0.00,0.000,0.182,12.7730,96.5958,71.5502,90.0606,96.6477,12.7659
199.000,0.00,0.000,0.229,12.7874,96.5958,71.5502,90.3501,96.6817,12.7695
200.000,0.00,0.000,-0.018,12.7639,96.5958,71.5502,90.4583,96.5355,12.7708
201.000,0.00,0.000,0.223,12.7616,96.5958,71.5502,90.6924,96.5811,12.7719
202.000,0.00,0.000,0.091,12.7763,96.5958,71.5502,91.3538,96.7571,12.7822
203.000,0.00,0.000,0.117,12.7659,96.5958,71.5502,91.2438,96.6474,12.7808
204.000,0.00,0.000,0.170,12.7953,96.5958,71.5502,91.7043,96.7896,12.7873
205.000,0.00,0.000,0.084,12.7812,96.5958,71.5502,91.7824,96.6865,12.7873
206.000,0.00,0.000,0.004,12.7974,96.5958,71.5502,92.1093,96.7445,12.7926
207.000,3.75,13.001,13.119,12.5969,96.5867,71.5410,92.0720,96.6330,12.6105
