Time [s],xung,SysTick,Task_SOC.c,Task_Voltage.c,Task_CAN.c,Task_Temperature.c,Channel 6,Channel 7
39.010356500,1,0,0,1,0,0,1,1
39.010357000,0,0,0,1,0,0,1,1
39.010716458,0,0,0,0,0,0,1,1
39.011356500,1,0,0,0,0,0,1,1
39.011357042,0,0,0,0,0,0,1,1
39.012356542,1,0,0,0,0,0,1,1
39.012357042,0,0,0,0,0,0,1,1
39.013356542,1,0,0,0,0,0,1,1
39.013357042,0,0,0,0,0,0,1,1
39.013357708,0,1,0,0,0,0,1,1
39.013358208,0,0,0,0,0,0,1,1
39.013368000,0,0,1,0,0,0,1,1
39.013414417,0,0,0,0,0,0,1,1
39.014356542,1,0,0,0,0,0,1,1
39.014357042,0,0,0,0,0,0,1,1
39.015356542,1,0,0,0,0,0,1,1
39.015357083,0,0,0,0,0,0,1,1
39.016356542,1,0,0,0,0,0,1,1
39.016357083,0,0,0,0,0,0,1,1
39.017356583,1,0,0,0,0,0,1,1
39.017357083,0,0,0,0,0,0,1,1
39.018356583,1,0,0,0,0,0,1,1
39.018357083,0,0,0,0,0,0,1,1
39.018357750,0,1,0,0,0,0,1,1
39.018358250,0,0,0,0,0,0,1,1
39.018367917,0,0,1,0,0,0,1,1
39.018393875,0,0,0,0,0,0,1,1
39.019356583,1,0,0,0,0,0,1,1
39.019357083,0,0,0,0,0,0,1,1
39.020356583,1,0,0,0,0,0,1,1
39.020357125,0,0,0,0,0,0,1,1
39.021356583,1,0,0,0,0,0,1,1
39.021357125,0,0,0,0,0,0,1,1
39.022356625,1,0,0,0,0,0,1,1
39.022357125,0,0,0,0,0,0,1,1
39.023356625,1,0,0,0,0,0,1,1
39.023357125,0,0,0,0,0,0,1,1
39.023357792,0,1,0,0,0,0,1,1
39.023358333,0,0,0,0,0,0,1,1
39.023368292,0,0,1,0,0,0,1,1
39.023394250,0,0,0,0,0,0,1,1
39.024356625,1,0,0,0,0,0,1,1
39.024357125,0,0,0,0,0,0,1,1
39.025356625,1,0,0,0,0,0,1,1
39.025357167,0,0,0,0,0,0,1,1
39.026356667,1,0,0,0,0,0,1,1
39.026357167,0,0,0,0,0,0,1,1
39.027356667,1,0,0,0,0,0,1,1
39.027357167,0,0,0,0,0,0,1,1
39.028356667,1,0,0,0,0,0,1,1
